AreaCode,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,OTHER_ROOMS,PARK_FACILITY,BUILDINGTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,REG_FEE,COMMIS,SALES_PRICE
2,1622,79,1,1,2,1,2,3,2,6,2.2,3.3,2.2,406434,243860,13547790
3,1092,89,1,1,1,0,3,1,0,4,2.4,2.4,2,246391,57491,8213040
3,821,34,1,1,1,0,2,3,2,4,3.4,4.6,2.9,182600,65736,7304000
5,1694,72,2,1,1,0,3,3,1,5,4,2,3.9,353291,114300,10390900
2,1809,177,2,1,2,0,1,1,0,5,3,3.5,2,518585,230482,19206870
4,1401,20,2,2,0,1,3,1,1,5,3.8,4.3,4,438477,229204,9965375
4,1470,99,2,2,0,0,3,3,0,4,3.1,3,3.1,302694,172968,7207000
3,798,166,1,1,0,0,1,3,2,4,2.3,2.6,3.6,253975,145129,9070550
3,764,137,1,1,0,0,2,2,0,4,3.3,3.2,2.1,158766,90723,5670200
3,1135,50,1,1,1,0,3,3,0,6,4.9,2.1,3.8,296102,148051,9253200
4,939,74,1,1,1,0,2,2,0,3,4.9,3.7,3.3,214700,38646,4294000
4,1586,59,2,2,0,1,1,3,1,6,3.9,3,4.5,586956,200424,14316000
6,1973,63,2,1,2,1,1,1,1,6,2.6,2.9,4.9,885666,116535,23307000
3,1023,44,1,1,1,1,2,1,2,6,3,2.8,3.6,282319,38941,9735150
3,884,75,1,1,1,0,1,3,0,6,2.3,3.8,2.4,283410,45346,11336400
2,1640,113,1,1,2,0,1,2,0,4,2.5,3.1,3.5,495645,194718,17701600
1,622,60,1,1,0,0,3,2,0,5,2.7,4.9,3.5,216906,72302,6572900
2,1880,90,2,1,2,1,2,3,0,6,3.2,4.2,4,483229,214768,13423020
5,2413,166,4,2,0,0,3,3,2,6,2.5,2.4,2.9,419905,170587,13122040
6,1649,169,1,1,2,0,1,1,1,4,2.1,2,4.6,681808,113635,18939100
7,1729,144,2,1,1,1,1,3,2,1,3.3,4,4,396911,128036,12803570
6,1942,10,2,1,2,0,2,3,1,4,4.6,3.1,2.9,320599,61654,12330740
3,711,116,1,1,0,1,3,3,0,5,2.6,3.2,2.8,249558,64402,8050270
3,885,122,1,1,1,0,2,2,0,6,4.6,2.7,2.1,237422,107919,7194600
5,1688,148,2,1,1,1,2,3,1,6,2,2.5,4.4,547810,285318,11412700
1,1236,108,2,2,0,0,1,2,1,1,3.7,3.5,4.4,481414,24071,12035355
4,926,98,1,1,1,0,2,2,1,5,4.3,4.8,2.9,288834,68770,6877000
5,1686,57,2,1,1,0,3,3,2,6,3.2,2.7,3.9,382817,196582,10346400
4,1344,129,2,2,0,0,1,3,1,4,4.6,4.2,3.3,453999,259428,10809500
5,1437,104,2,1,1,0,3,1,1,6,3.8,4.6,2.6,489629,102006,10200600
4,1430,17,2,2,0,1,3,3,0,1,4.3,3.2,3.8,238887,106172,6635750
1,1081,85,1,1,1,0,2,1,0,2,3.5,3.1,3.2,241416,6190,6190150
4,1352,1,2,2,0,1,2,2,1,1,3,2,3.5,240768,123638,6507250
5,1986,109,3,2,0,0,2,1,1,6,4.9,3.6,4.6,476717,227008,11350400
2,1758,164,1,1,2,1,1,1,0,5,3.5,2.9,4,713565,231426,19285540
4,607,121,1,1,0,0,3,3,1,5,4.2,4.9,2.2,175699,117133,5856625
5,2139,136,3,2,0,1,3,3,2,5,2.3,4.1,2.4,424048,249440,12472000
5,1488,97,2,1,1,0,3,1,2,4,2.3,5,4.1,405211,202606,8441900
7,1645,96,2,1,1,0,2,3,0,4,3.7,4.5,2.1,250118,75793,7579320
3,950,177,1,1,1,1,3,3,1,5,3.7,2.6,3.4,273252,146385,9759000
3,928,90,1,1,1,1,1,1,1,4,2.1,3.8,3.7,409985,62119,12423800
7,1693,145,2,1,1,1,1,3,2,6,4.1,2.7,4.1,604335,108470,15495760
7,1873,0,3,2,0,1,3,2,0,5,4.8,3.4,3.9,363735,198401,11022270
1,721,145,1,1,0,0,3,3,2,5,3.4,2.8,4.6,273800,60844,7605550
4,1190,37,1,1,1,1,2,3,1,4,4.3,4.1,3.8,342613,127484,7967750
5,1593,9,2,1,1,0,3,1,2,4,3.2,3.2,4.2,402606,223670,8946800
3,786,181,1,1,0,1,3,2,1,5,4.4,4.8,4.3,249610,83203,9244820
3,1195,93,1,1,1,0,3,3,2,5,3,4.7,3.2,265183,29465,9821600
7,1824,187,3,2,0,0,2,3,2,3,3.9,2.3,4.1,273570,76942,8549060
5,1906,81,3,2,0,1,1,3,2,4,3.7,4.7,3,792637,206086,15852740
1,656,20,1,1,0,0,1,1,2,3,4.5,2.3,2.3,280244,113849,8757635
3,727,84,1,1,0,0,3,2,1,6,3.1,4.3,2.5,218816,100992,8415990
1,931,37,1,1,1,1,3,2,2,6,2,3.6,4,367617,19871,9935595
7,1898,108,3,2,0,1,1,2,0,6,3.9,2.7,4.4,581625,332357,16617860
2,1698,15,1,1,2,0,2,3,1,6,5,4.9,3.1,359949,198593,12412050
6,1926,193,2,1,2,1,1,3,0,6,4.2,4.9,3.1,633655,203675,22630540
4,1481,144,2,2,0,1,1,1,2,1,3.7,4.9,2.3,485174,178227,9901500
2,1506,122,1,1,2,0,2,2,0,6,3.9,3.4,2.1,417996,177648,10449910
3,1020,95,1,1,1,0,2,3,0,6,4.2,2.4,4.1,206664,31794,7948600
3,889,196,1,1,1,0,3,2,1,6,5,2.4,2,300256,136480,9098680
3,1015,147,1,1,1,1,2,1,2,4,3.9,4.4,2,275314,66743,8342850
6,1682,78,1,1,2,0,1,1,1,4,3.7,3,3.5,690507,111974,18662350
3,869,39,1,1,1,0,3,3,0,6,4.3,4.8,3.3,220661,138935,8172630
4,1445,20,2,2,0,0,2,3,0,3,4.9,2.9,2.5,216691,87848,5856500
2,1919,178,2,1,2,1,2,3,1,6,2.4,5,3.3,544054,117633,14704160
1,1243,141,2,2,0,1,1,3,2,2,3.9,4.3,2.2,440895,26721,13360440
4,857,158,1,1,0,0,2,2,2,3,3.6,2.4,3.4,236556,59139,4928250
4,1055,174,1,1,1,1,3,3,1,3,3.7,2.3,4.8,226769,117042,7315125
5,1778,94,3,2,0,0,3,3,1,5,3.1,3.9,4.4,340948,153976,10998320
4,851,124,1,1,0,0,3,2,2,1,3.8,4.8,2.6,181073,39364,3936375
3,1021,82,1,1,1,1,3,3,0,5,2,2.5,4.6,276053,147228,9201770
5,2203,76,3,2,0,1,1,3,2,5,2.9,2,4,572520,339934,17891240
4,613,81,1,1,0,0,1,3,0,3,4.6,4.3,2.3,195491,66879,5144500
1,738,69,1,1,0,0,1,3,0,3,2.4,4.7,5,324194,8313,8312670
4,1489,177,2,2,0,0,2,2,1,4,4.4,3.2,4,384348,200181,8007250
4,795,73,1,1,0,1,2,3,1,6,3.4,2.6,4.9,254378,127189,8479250
7,1909,11,3,2,0,1,3,1,1,1,4.6,4.1,5,303875,212712,10129160
3,1252,190,2,1,1,0,2,1,0,6,3.6,4.9,4.6,265502,47411,9482200
4,1077,144,1,1,1,0,1,2,2,6,3.3,4.9,4.2,305249,246169,9846750
5,1524,73,2,1,1,0,3,3,2,4,3.6,2.7,2.8,303654,208220,8675820
3,1049,36,1,1,1,1,2,2,1,6,4.2,4.9,3.4,328398,133412,10262450
7,1780,194,2,1,1,0,3,1,1,2,4.7,2,2.9,329500,130066,8671050
3,946,14,1,1,1,0,1,2,0,5,3.8,3.1,4.5,368463,111656,11165550
3,906,116,1,1,1,1,2,3,1,6,3.2,4.6,3.2,302874,28394,9464800
5,2344,71,4,2,0,0,1,3,1,6,4.9,3.2,4.4,622046,471247,18849880
1,929,76,1,1,1,1,3,3,2,4,2.4,2.3,2.7,341295,75843,9480425
2,1843,158,2,1,2,0,2,2,0,5,3.9,3.4,3.3,318884,147177,12264750
2,1918,187,2,1,2,1,1,1,1,5,3.2,2.5,2.3,809377,218751,21875050
5,1507,54,2,1,1,1,1,1,2,4,3.2,4.8,3,636313,243694,13538580
5,1499,89,2,1,1,0,2,1,1,4,2.5,3,4.6,372805,186403,8876320
5,1526,64,2,1,1,1,1,1,2,4,4.1,3.8,4.5,518512,327481,13645040
2,1855,82,2,1,2,1,1,3,2,4,3.3,2.1,4.8,839848,188966,20996200
4,1627,39,2,2,0,1,3,2,2,4,4.1,4.6,2.5,308418,99782,9071125
7,1846,28,3,2,0,0,2,1,1,6,3.6,3.9,2,378554,129790,10815830
5,2019,65,3,2,0,1,3,3,2,6,3.8,3.1,3.2,601718,230445,12802500
4,1578,153,2,2,0,1,3,1,1,3,4.3,4.6,3.4,295508,238313,9532500
7,1780,115,2,1,1,1,1,3,0,2,2.8,4.6,2.5,453788,173507,13346700
4,662,148,1,1,0,0,1,3,0,2,4.7,3.3,2.5,143765,65348,4356500
3,1005,17,1,1,1,0,1,3,1,5,2.2,2.8,4.9,355456,183857,12257100
4,839,102,1,1,0,0,2,3,2,2,4.6,4.6,2.3,192724,49206,4100500
2,1698,76,1,1,2,0,2,1,0,6,4.7,4.4,4.3,403460,80692,11527430
1,878,16,1,1,1,1,2,3,2,1,5,3.3,5,225847,6453,6452785
3,835,77,1,1,1,1,2,2,2,6,3.8,4.5,3,227738,33739,8434750
3,911,84,1,1,1,1,3,2,0,4,3.8,3.8,2,245118,37139,7427820
7,1796,176,2,1,1,1,2,2,0,4,4.8,2.1,3.8,318687,118370,9105350
4,1004,182,1,1,1,0,3,2,0,2,4.9,3.3,3.1,193582,75544,4721500
2,1694,86,1,1,2,0,3,3,2,5,2.6,2.5,2.4,377250,213775,12575010
4,1244,50,1,1,1,1,3,1,1,3,2.5,2.1,2.6,246535,143150,7952750
4,588,163,1,1,0,0,3,1,2,5,4.9,4.2,3.5,228220,57055,5705500
5,2342,69,4,2,0,1,2,3,2,5,4.1,3.8,2.6,567545,180582,12898740
7,1835,88,3,2,0,0,3,1,2,5,4.7,2.6,2.1,418181,182284,10722580
2,1977,84,2,1,2,1,2,1,1,5,4.6,4.8,3.9,423089,211544,14102960
5,1961,104,3,2,0,1,1,3,1,6,2,2.6,3.2,792581,387484,17612900
7,1517,82,2,1,1,1,2,3,0,1,3.2,3.5,3.8,257288,85763,7146890
5,2409,103,4,2,0,1,3,3,1,5,4.3,4,2,606442,242577,13476480
7,1864,187,3,2,0,0,1,2,1,4,3.2,4.6,2.8,528520,181207,15100560
7,1643,52,2,1,1,1,1,1,2,6,4.8,3.6,2.4,577164,249584,15599020
1,1015,76,1,1,1,1,1,3,0,2,4.6,2.2,2.3,370412,112246,11224620
2,1700,135,1,1,2,1,3,3,0,4,4.3,2.7,2.4,424219,174679,12477040
4,624,34,1,1,0,0,1,2,0,2,4.4,3.4,3,202228,92321,4396250
3,980,84,1,1,1,0,1,3,2,5,3,3.8,4.6,380824,130908,11900750
4,1003,196,1,1,1,1,1,3,1,4,2.5,4.3,4.4,373330,161440,10090000
1,1072,66,1,1,1,1,2,3,0,1,2.3,2.3,2.3,264308,33038,6607690
4,808,119,1,1,0,0,2,3,1,2,3.1,2.4,3,161577,90293,4752250
3,1027,131,1,1,1,0,2,2,2,4,2.8,3.7,3.3,215799,44648,7441350
4,696,84,1,1,0,0,2,3,1,5,3.5,2.1,3.6,212561,77295,6441250
7,1716,86,2,1,1,1,2,2,2,5,2.1,3.3,2.2,414394,155398,10359860
7,1878,18,3,2,0,0,1,1,2,2,5,2.6,4.8,573149,257917,14328720
5,1699,98,2,1,1,1,3,3,1,5,4.3,2.9,2.4,457764,125885,11444100
5,1626,188,2,1,1,0,2,1,2,6,2.9,3.6,2.7,348490,135524,9680280
5,1730,200,2,1,1,0,1,3,1,5,2.1,3.5,3.5,589574,235830,14739360
3,996,78,1,1,1,0,3,2,1,5,4.1,4.9,2.6,295007,151974,8939620
3,1277,111,2,1,1,1,1,1,0,6,4,3.8,3.4,518443,47131,15710400
3,906,64,1,1,1,0,1,3,2,4,3.2,2.3,2.9,327251,30680,10226600
2,1976,112,2,1,2,0,2,3,2,5,5,2.9,2.2,369002,110700,12300050
7,1776,120,2,1,1,1,2,3,2,4,4.9,2.4,3.4,319653,89903,9989170
4,1402,112,2,2,0,0,2,3,1,3,3.7,3.6,5,257761,111464,6966500
3,1160,138,1,1,1,1,3,1,0,4,4.4,3.4,2.7,255525,104103,9463900
7,1957,134,3,2,0,1,1,2,0,3,4.6,3.7,3.1,547180,243191,15199450
6,1887,48,2,1,2,0,1,3,0,5,2.3,2.4,3.3,573985,348491,20499450
7,1859,142,3,2,0,1,2,2,2,4,4.6,4.9,4.4,297756,138953,9925210
3,747,168,1,1,0,1,1,1,0,6,4.9,2.7,2.7,336707,157130,11223550
1,985,159,1,1,1,1,2,3,2,2,3.6,2.7,2.1,265662,44277,7379505
3,1024,77,1,1,1,1,1,1,0,4,3.4,3.3,2.7,302285,108823,12091400
7,1600,148,2,1,1,1,3,2,2,5,2.9,3.5,4.9,315906,94772,10530200
3,1276,141,2,1,1,0,3,3,2,5,3.8,2.3,3.8,316936,163270,9604120
3,1159,90,1,1,1,1,2,2,1,4,4.3,3.3,2.6,253758,108754,9062800
4,1024,142,1,1,1,1,2,3,0,2,3.4,3.1,4.9,166198,94970,4748500
1,1249,93,2,2,0,0,1,3,2,1,3.9,2.2,4.8,417195,176992,12642285
3,839,175,1,1,1,1,3,1,1,4,2.5,4.4,3.2,255008,72859,9107430
3,1286,105,2,1,1,0,2,1,0,6,2.2,2.2,4.9,292906,118993,9153300
5,2467,69,4,2,0,0,2,1,1,5,3,3.6,2.4,581942,139160,12650920
4,653,121,1,1,0,0,1,2,0,6,2.5,3.1,5,297775,160340,7635250
4,606,4,1,1,0,1,3,3,1,6,2.6,3,3.9,353430,117810,7854000
6,1837,81,2,1,2,1,2,2,0,5,4.3,4.1,4.8,488298,105578,13197230
7,1880,95,3,2,0,1,1,3,0,2,3.7,3.2,4.2,437429,109357,13669670
5,2189,1,3,2,0,1,1,1,1,4,2.3,4.7,4.5,547496,456247,18249860
7,1853,123,3,2,0,1,1,3,2,2,2.4,4.3,4.5,588293,279439,14707330
3,1057,200,1,1,1,0,3,1,2,5,4.3,3.2,2.6,228621,27435,9144840
1,723,49,1,1,0,0,1,2,1,6,3.6,3.7,3.7,329098,142609,10969920
6,1812,100,2,1,2,0,3,2,0,5,2.8,2.6,4.2,440951,232724,12248640
6,1788,145,1,1,2,1,3,2,0,5,4.6,3,5,426755,156477,14225180
7,1615,31,2,1,1,0,2,2,2,3,4.5,4.5,4.8,288694,128308,8019280
2,1755,85,1,1,2,0,2,3,0,5,3.8,4.5,2.1,308078,182565,11410310
1,1296,25,2,2,0,0,2,1,0,6,3.5,4.4,4.8,338320,49753,9950600
5,1554,18,2,1,1,1,2,3,2,5,2.7,2.5,3.8,479055,229547,9980320
2,1737,71,1,1,2,1,2,1,1,5,4.4,3.6,4.2,385905,214392,14292780
4,785,116,1,1,0,1,3,1,0,3,4,2.9,3,207104,86293,5752875
4,1678,70,2,2,0,1,1,3,1,2,3.3,2.9,4.9,475330,202015,11883250
5,2360,171,4,2,0,1,1,3,2,6,2,3.9,4.6,693566,495405,19816180
5,1464,2,2,1,1,1,3,3,2,4,4.8,4,3.1,394575,131525,9394640
5,1632,156,2,1,1,1,3,1,1,4,2.7,4.5,2.9,514815,262661,10506420
7,1755,103,2,1,1,1,3,2,0,2,2.6,3.9,4,332987,61340,8762820
7,1556,105,2,1,1,0,3,3,2,5,4.6,2.4,4.4,289791,130873,9348100
1,1170,120,1,1,1,0,2,3,1,4,3,3.3,4,337985,18269,9134740
1,901,106,1,1,1,0,3,1,1,3,4.6,4.8,4.6,267514,84076,7643255
4,1160,184,1,1,1,1,1,3,1,1,4,4.9,2.9,426540,222156,8886250
4,1570,170,2,2,0,1,2,3,0,1,3,5,3,243466,128140,6407000
4,1476,167,2,2,0,0,1,3,2,5,4.4,3.4,4.4,576800,126896,11536000
4,586,190,1,1,0,1,3,2,2,3,4.4,2.9,2.2,255984,85328,5333000
4,1059,110,1,1,1,1,2,1,2,5,3.9,3.7,4.9,306121,188382,7849250
6,1712,1,1,1,2,1,2,3,1,5,3.5,4.7,3.1,372538,262157,13797720
1,847,7,1,1,1,0,3,3,1,4,2.6,2.1,2.7,284707,14985,7492300
4,1192,152,1,1,1,0,2,3,0,3,4.5,4.5,3.6,235059,101503,5342250
7,1942,126,3,2,0,1,1,1,0,5,4.1,3.4,2.7,583655,324253,16212650
4,557,105,1,1,0,1,3,2,0,3,4.3,3,2.8,183695,94203,4710125
7,1728,123,2,1,1,1,1,2,1,3,4,2.6,2.8,461853,283071,14898480
7,1798,23,2,1,1,1,1,1,1,6,3,3.4,4,511811,204725,17060380
4,1497,24,2,2,0,1,2,1,1,1,4.4,3.8,4.8,311929,76249,6931750
3,1173,27,1,1,1,1,2,3,0,4,3.1,2.1,3.2,262285,24589,8196400
2,1640,198,1,1,2,1,1,3,0,4,3.7,3.4,4.5,495731,318684,17704670
5,1747,82,2,1,1,1,3,3,2,5,2.2,4.9,3.1,377464,161770,10784680
4,1342,183,2,2,0,1,1,2,0,3,4.8,2.9,2.2,287828,211074,9594250
6,2000,31,2,1,2,0,2,3,0,6,4.1,3.9,2.4,435100,95178,13596890
7,1987,158,3,2,0,0,3,3,1,4,3.7,3,2.9,423940,167345,11156320
4,1567,2,2,2,0,0,3,1,1,2,4.2,2.9,4.5,247228,193147,7725875
4,1188,187,1,1,1,0,1,1,0,6,2.8,4.8,3.3,373141,186571,9819500
1,737,12,1,1,0,0,2,3,0,1,2,2,3.5,123814,54169,3869180
4,785,63,1,1,0,1,3,3,2,2,2.1,5,2.1,251663,93642,5852625
